Verkooporderregel artikel.Artikel.Artikelcode,Omschrijving_standaard_artikelen,Priority,ArticleType,Aantal_orders_5jr,Totale_kosten_5jr,Aantal_klantlocaties_5jr,Annual_Use,Annual_Use_genormaliseerd,Aandeel_pct,Cumulatief_pct,ABC_categorie,Aandeel,Cumulatief_aandeel,Totaal_orders_5jr,Gem_orders_per_klantlocatie_5jr,Max_orders_op_1_klantlocatie_5jr,Aantal_klantlocaties_met_orders_5jr,Incourant,Artikelcode,Standaard verkoopprijs,Engineering status,Hoofdleverancier.Relatie,Artikelgroep,Inkoopprijs (standaard),Hoofdleverancier.Levertijd,MTBF(years),Hoofdleverancier.Bestelhoeveelheid,Laatste_order_datum,Unnamed: 29
OPNLAESWS10500420,Linear reader,Onbekend,Onbekend,1.0,1232.3,1.0,246.46,246.46,0.0487708903731411,68.74680142875869,A,0.0004877089037314,0.6874680142875869,1.0,1.0,1.0,1.0,Uitgeschakeld,OPNLAESWS10500420,1462.0,Custom approved,AE Sensors B.V.,660-Sensor and lighting," 731,00",21 dagen,10.0,1.0,2022-07-29,
000754025,"Conveyor belt, welded",3,Wear,1.0,1115.48,1.0,223.096,223.096,0.0441474907031011,71.79912490756702,A,0.000441474907031,0.7179912490756702,1.0,1.0,1.0,1.0,Uitgeschakeld,000754025,1469.83,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 397,25",0 dagen,7.0,0.0,2024-12-20,
000348207,"Motor, servo",2,Critical,4.0,3444.21,3.0,688.842,229.614,0.0454373091866365,71.03954767036873,A,0.0004543730918663,0.7103954767036873,4.0,1.333333333333333,2.0,3.0,Uitgeschakeld,000348207,1470.74,Custom Approved Racupack,Dynamic Drives,310-Electric motor," 735,37",0 dagen,10.0,1.0,2024-11-12,
000285383,"Motor, servo",2,Critical,2.0,2226.78,2.0,445.3559999999999,222.678,0.0440647745131475,72.01956976740199,A,0.0004406477451314,0.7201956976740199,2.0,1.0,1.0,2.0,Uitgeschakeld,000285383,1470.74,Custom Approved Racupack,Sigma Control B.V.,310-Electric motor," 735,37",0 dagen,10.0,1.0,2024-11-29,
000691131,"Cylinder, semi-rotary",1,Critical,5.0,12059.18,5.0,2411.836,482.3672,0.0954535333555103,46.0894386128189,A,0.0009545353335551,0.4608943861281891,5.0,1.0,1.0,5.0,Uitgeschakeld,000691131,1474.0,Custom Approved,Koppe B.V. Technisch Bureau,510-Cylinder,737,2 dagen,8.0,0.0,2025-03-05,
000548817,"Motor, servo",2,Critical,3.0,3769.39,3.0,753.8779999999999,251.2926666666666,0.0497272056219034,68.00883098994639,A,0.000497272056219,0.6800883098994639,3.0,1.0,1.0,3.0,Uitgeschakeld,000548817,1476.0,Custom Approved,Groneman B.V.,310-Electric motor," 738,00",0 dagen,10.0,0.0,2024-01-16,
000551525,Transportband eindl. dmv VLV-las,3,Wear,2.0,2432.92,1.0,486.584,486.584,0.0962879774459325,45.70616360858175,A,0.0009628797744593,0.4570616360858176,2.0,2.0,2.0,1.0,Uitgeschakeld,000551525,1477.78,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 399,40",0 dagen,7.0,0.0,2022-10-28,
000308170,"Hotmelt, hose, heated",2,Wear,4.0,4927.92,4.0,985.584,246.396,0.0487582256933396,68.79555965445202,A,0.0004875822569333,0.6879555965445202,4.0,1.0,1.0,4.0,Uitgeschakeld,000308170,1487.18,Standard Approved,Robatech B.V.,670-Hotmelt," 756,97",0 dagen,10.0,1.0,2026-02-11,
BELTENDL-00000799,"Conveyor belt, welded",3,Wear,3.0,4774.52,1.0,954.904,954.904,0.1889617718935082,24.82404181275102,A,0.001889617718935,0.2482404181275102,3.0,3.0,3.0,1.0,Uitgeschakeld,BELTENDL-00000799,1492.1,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 403,27",0 dagen,7.0,1.0,2023-09-26,
000593729,"Motor, servo",2,Critical,11.0,14660.22,9.0,2932.044,325.7826666666667,0.0644677055971338,58.92017376869588,A,0.0006446770559713,0.5892017376869587,11.0,1.222222222222222,2.0,9.0,Uitgeschakeld,000593729,1497.22,Standard Approved,Bosch Rexroth B.V.,310-Electric motor,748.61,25 dagen,10.0,0.0,2025-12-24,
000683255,"Safety sensor, light curtain",2,Critical,1.0,1330.65,1.0,266.13,266.13,0.0526633005558876,66.27025904164029,A,0.0005266330055588,0.6627025904164029,1.0,1.0,1.0,1.0,Uitgeschakeld,000683255,1498.86,Custom Approved,Schmersal Nederland B.V.,660-Sensor and lighting," 749,43",0 dagen,10.0,0.0,2024-07-02,
000608495,"Vision, camera",1,Critical,6.0,8938.6,6.0,1787.72,297.9533333333333,0.0589606806634423,62.28958397335739,A,0.0005896068066344,0.6228958397335739,6.0,1.0,1.0,6.0,Uitgeschakeld,000608495,1506.0,Standard Approved,Balluff GmbH,660-Sensor and lighting,753,20 dagen,10.0,1.0,2026-05-04,
MOTODRUM-00000102,"Motor, drum",2,Critical,1.0,1049.31,1.0,209.862,209.862,0.0415286723828944,73.51804318794206,A,0.0004152867238289,0.7351804318794205,1.0,1.0,1.0,1.0,Uitgeschakeld,MOTODRUM-00000102,1506.0,Custom Approved,Van der Graaf B.V.,310-Electric motor," 753,00",0 dagen,10.0,1.0,2023-11-02,
REX_HCS01-W018-ME,Servocontroller HCS01 STO 18A ET 2E,3,Wear,2.0,1989.45,1.0,397.89,397.89,0.0787367100972537,52.38073015526308,A,0.0007873671009725,0.5238073015526308,2.0,2.0,2.0,1.0,Uitgeschakeld,REX_HCS01-W018-ME,1506.38,Custom approved,Bosch Rexroth B.V.,610-Motor control," 753,19",15 dagen,10.0,1.0,2021-09-03,
000732631,"Motor, drum",2,Critical,1.0,1432.6,1.0,286.52,286.52,0.0566981883864011,64.1949411170229,A,0.000566981883864,0.6419494111702291,1.0,1.0,1.0,1.0,Uitgeschakeld,000732631,1508.0,Custom Approved,Van der Graaf B.V.,310-Electric motor," 754,00",0 dagen,10.0,0.0,2025-10-15,
000296883,"Conveyor belt, welded",3,Wear,1.0,1226.55,1.0,245.31,245.31,0.0485433219079577,68.89269181196097,A,0.0004854332190795,0.6889269181196097,1.0,1.0,1.0,1.0,Uitgeschakeld,000296883,1509.05,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 407,85",0 dagen,7.0,1.0,2021-09-20,
BELTENDL-00000174,"Conveyor belt, welded",3,Wear,3.0,6131.26,3.0,1226.252,408.7506666666666,0.0808858798748209,51.98385114775439,A,0.0008088587987482,0.5198385114775439,3.0,1.0,1.0,3.0,Uitgeschakeld,BELTENDL-00000174,1510.79,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 414,44",0 dagen,7.0,1.0,2025-11-20,
BELTENDL-00000341,"Transport belt endless, VLV welded",3,Wear,1.0,2108.54,1.0,421.708,421.708,0.0834499498396357,50.91593752467971,A,0.0008344994983963,0.5091593752467971,1.0,1.0,1.0,1.0,Uitgeschakeld,BELTENDL-00000341,1511.45,Custom approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 408,50",0 dagen,7.0,1.0,2023-02-01,
REDUPLAN-00000052,Planetary gearbox,1,Critical,2.0,2874.99,2.0,574.9979999999999,287.499,0.0568919184102398,63.96788477982894,A,0.0005689191841023,0.6396788477982893,2.0,1.0,1.0,2.0,Uitgeschakeld,REDUPLAN-00000052,1526.0,Custom approved,Harmonic Drive Ag,310-Electric motor," 763,00",0 dagen,10.0,1.0,2026-04-14,
LINIUNIT-00000006,"Linear actuator, drive",1,Wear,7.0,10749.27,3.0,2149.854,716.618,0.1418083985937665,32.59146773717057,A,0.0014180839859376,0.3259146773717057,7.0,2.333333333333333,5.0,3.0,Uitgeschakeld,LINIUNIT-00000006,1529.46,Custom Approved,Festo B.V.,330-Linear motion," 764,73",0 dagen,10.0,1.0,2026-02-25,
000264777,"Reductor, servo",2,Critical,2.0,2700.18,1.0,540.036,540.036,0.1068653597076592,42.75802166178383,A,0.0010686535970765,0.4275802166178383,2.0,2.0,2.0,1.0,Uitgeschakeld,000264777,1532.92,Custom Approved,Apex Dynamics B.V.,370-Gear," 766,46",0 dagen,10.0,1.0,2022-07-04,
REDUPLAN-00000011,"Reductor, servo",2,Critical,2.0,2333.42,1.0,466.684,466.684,0.0923500535701494,47.95943679026997,A,0.0009235005357014,0.4795943679026997,2.0,2.0,2.0,1.0,Uitgeschakeld,REDUPLAN-00000011,1532.92,Custom Approved,Apex Dynamics B.V.,370-Gear," 766,46",0 dagen,10.0,1.0,2022-04-08,
000264778,"Reductor, servo",2,Critical,1.0,1349.11,1.0,269.822,269.822,0.0533938942719374,65.95220434159748,A,0.0005339389427193,0.6595220434159748,1.0,1.0,1.0,1.0,Uitgeschakeld,000264778,1532.92,Custom Approved,Apex Dynamics B.V.,370-Gear," 766,46",0 dagen,10.0,1.0,2022-08-03,
000303128,"Conveyor belt, welded",3,Wear,1.0,1192.44,1.0,238.488,238.488,0.0471933461953651,69.51238225411657,A,0.0004719334619536,0.6951238225411658,1.0,1.0,1.0,1.0,Uitgeschakeld,000303128,1534.06,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 414,61",0 dagen,7.0,1.0,2025-03-20,
