Verkooporderregel artikel.Artikel.Artikelcode,Omschrijving_standaard_artikelen,Priority,ArticleType,Aantal_orders_5jr,Totale_kosten_5jr,Aantal_klantlocaties_5jr,Annual_Use,Annual_Use_genormaliseerd,Aandeel_pct,Cumulatief_pct,ABC_categorie,Aandeel,Cumulatief_aandeel,Totaal_orders_5jr,Gem_orders_per_klantlocatie_5jr,Max_orders_op_1_klantlocatie_5jr,Aantal_klantlocaties_met_orders_5jr,Incourant,Artikelcode,Standaard verkoopprijs,Engineering status,Hoofdleverancier.Relatie,Artikelgroep,Inkoopprijs (standaard),Hoofdleverancier.Levertijd,MTBF(years),Hoofdleverancier.Bestelhoeveelheid,Laatste_order_datum,Unnamed: 29
000573585,"Extender pickhead, Str 50, VaDe",Onbekend,Onbekend,18.0,23204.59,3.0,4640.918,1546.972666666667,0.3061236482035458,13.82390250276526,A,0.0030612364820354,0.1382390250276526,18.0,6.0,16.0,3.0,Uitgeschakeld,000573585,0.0,Custom Approved,,170-Purchase parts with machining," 0,00",,0.0,,2026-05-01,
000271261,Servomotor,Onbekend,Onbekend,2.0,6893.25,2.0,1378.65,689.325,0.1364075063152867,33.69823237612942,A,0.0013640750631528,0.3369823237612942,2.0,1.0,1.0,2.0,Uitgeschakeld,000271261,0.0,Custom approved Racupack,Siemens Nederland N.V.,310-Electric motor," 0,00",0 dagen,10.0,1.0,2024-10-24,
000573691,"Extender pickhead, Str 50, sp, VaDe",Onbekend,Onbekend,12.0,7064.75,3.0,1412.95,470.9833333333333,0.0932008298205656,47.12563187040648,A,0.0009320082982056,0.4712563187040648,12.0,4.0,10.0,3.0,Uitgeschakeld,000573691,0.0,Custom Approved,,170-Purchase parts with machining," 0,00",,2.0,,2026-04-16,
000568550,"Seal, O-Ring",4,Not Recommended,3.0,32.53,2.0,6.506,3.253,0.0006437219280363,99.98442828476828,C,6.437219280363073e-06,0.9998442828476828,3.0,1.5,2.0,2.0,Uitgeschakeld,000568550,1.24,Custom Approved,Eriks B.V.,700-General parts," 0,62",0 dagen,2.0,0.0,2022-09-23,
000271349,Pressure spring,2,Wear,3.0,58.63,1.0,11.726,11.726,0.0023204068023835,99.65347146245313,C,2.320406802383566e-05,0.9965347146245312,3.0,3.0,3.0,1.0,Uitgeschakeld,000271349,2.14,Custom approved Racupack,Wurth Nederland B.V.,700-General parts," 1,07",0 dagen,5.0,1.0,2024-11-25,
000466335,"Spring, torsion",2,Wear,4.0,2162.87,3.0,432.574,144.1913333333333,0.0285333916690621,83.22107998460172,B,0.0002853339166906,0.8322107998460171,4.0,1.333333333333333,2.0,3.0,Uitgeschakeld,000466335,2.76,Custom Approved,Amatec B.V.,700-General parts," 6,25",0 dagen,5.0,0.0,2026-02-11,
000556302,compression spring,2,Wear,1.0,104.72,1.0,20.944,20.944,0.0041445164650453,99.05436808451876,C,4.144516465045318e-05,0.9905436808451876,1.0,1.0,1.0,1.0,Uitgeschakeld,000556302,4.04,Custom Approved,ATV Springs,700-General parts," 2,02",0 dagen,5.0,0.0,2024-05-20,
SPRICOMP-00000005,Compression spring,2,Wear,3.0,37.41,2.0,7.482000000000001,3.741000000000001,0.0007402901115228,99.97762953473878,C,7.402901115228485e-06,0.999776295347388,3.0,1.5,2.0,2.0,Uitgeschakeld,SPRICOMP-00000005,4.1,Custom approved,Amatec B.V.,700-General parts," 2,36",0 dagen,5.0,1.0,2026-01-26,
SPRICOMP-00000006,Compression spring,2,Wear,6.0,689.1,3.0,137.82,45.94,0.0090908654700239,97.446904759814,C,9.090865470023964e-05,0.97446904759814,6.0,2.0,4.0,3.0,Uitgeschakeld,SPRICOMP-00000006,4.38,Custom approved,Amatec B.V.,700-General parts," 2,19",0 dagen,5.0,1.0,2025-04-25,
000501718,Toothed belt endless,3,Wear,1.0,14.64,1.0,2.928,2.928,0.0005794091009192,99.98744163754716,C,5.794091009192462e-06,0.9998744163754716,1.0,1.0,1.0,1.0,Uitgeschakeld,000501718,4.48,Custom Approved,Ammertech B.V.,360-Drive belt," 1,53",0 dagen,3.0,0.0,2023-02-13,
SPRICOMP-00000013,Compression spring,2,Wear,1.0,494.0,1.0,98.8,98.8,0.0195510994435865,90.01680651510436,B,0.0001955109944358,0.9001680651510436,1.0,1.0,1.0,1.0,Uitgeschakeld,SPRICOMP-00000013,4.52,Custom approved,Amatec B.V.,700-General parts," 2,26",0 dagen,5.0,1.0,2022-05-05,
SPRIEXTE-00000003,"Spring, tension",2,Wear,6.0,685.36,5.0,137.072,27.4144,0.0054249155929783,98.66761952062676,C,5.424915592978342e-05,0.9866761952062676,6.0,1.2,2.0,5.0,Uitgeschakeld,SPRIEXTE-00000003,4.66,Standard Approved,Amatec B.V.,700-General parts," 3,03",0 dagen,5.0,1.0,2026-02-27,
000468318,Trekveer,2,Wear,1.0,120.0,1.0,24.0,24.0,0.0047492549255675,98.88757854219983,C,4.749254925567592e-05,0.9888757854219984,1.0,1.0,1.0,1.0,Uitgeschakeld,000468318,5.0,Custom Approved,ATV Springs,700-General parts," 7,95",0 dagen,5.0,0.0,2026-01-08,
VEEDAMASP10357,Compression spring,2,Wear,3.0,97.54,1.0,19.508,19.508,0.0038603527119988,99.1700141924145,C,3.860352711998858e-05,0.991700141924145,3.0,3.0,3.0,1.0,Uitgeschakeld,VEEDAMASP10357,5.18,Custom approved,Amatec B.V.,700-General parts," 2,59",15 dagen,5.0,50.0,2023-12-29,
000332014,Toothed belt endless,3,Wear,1.0,4.24,1.0,0.8480000000000001,0.8480000000000001,0.00016780700737,99.9999026402742,C,1.678070073700549e-06,0.999999026402742,1.0,1.0,1.0,1.0,Uitgeschakeld,000332014,5.32,Custom Approved,Ammertech B.V.,360-Drive belt," 2,66",0 dagen,3.0,1.0,2024-05-15,
RIETPIR0265-5M-25,Gear belt,3,Wear,1.0,20.62,1.0,4.124000000000001,4.124000000000001,0.00081608030471,99.97154230916168,C,8.160803047100314e-06,0.9997154230916168,1.0,1.0,1.0,1.0,Uitgeschakeld,RIETPIR0265-5M-25,5.8,Custom approved,Ammertech B.V.,360-Drive belt," 2,90",21 dagen,5.0,1.0,2024-08-29,
VEEDSPED21848T,Compression spring,2,Wear,1.0,107.04,1.0,21.408,21.408,0.0042363353936062,99.01675511345634,C,4.236335393606292e-05,0.9901675511345636,1.0,1.0,1.0,1.0,Uitgeschakeld,VEEDSPED21848T,6.04,Custom approved,Amatec B.V.,700-General parts," 3,02",21 dagen,5.0,10.0,2026-01-29,
000544120,Toothed belt endless,3,Wear,1.0,20.8,1.0,4.16,4.16,0.0008232041870983,99.9690865485939,C,8.232041870983826e-06,0.9996908654859392,1.0,1.0,1.0,1.0,Geselecteerd,000544120,6.36,Custom Approved,Ammertech B.V.,360-Drive belt," 3,18",0 dagen,3.0,0.0,2023-02-13,
RIETGAT0375-5MR9,Toothed belt endless,3,Wear,2.0,12.12,2.0,2.424,1.212,0.0002398373737411,99.99890292211236,C,2.398373737411634e-06,0.9999890292211236,2.0,1.0,1.0,2.0,Uitgeschakeld,RIETGAT0375-5MR9,6.36,Custom Approved,Ammertech B.V.,360-Drive belt," 3,20",21 dagen,3.0,1.0,2024-12-06,
000271347,Pressure spring inox,2,Wear,1.0,20.76,1.0,4.152,4.152,0.0008216211021231,99.96990816969604,C,8.216211021231934e-06,0.9996990816969604,1.0,1.0,1.0,1.0,Uitgeschakeld,000271347,6.8,Custom approved Racupack,Amatec B.V.,700-General parts," 3,40",0 dagen,5.0,1.0,2024-03-08,
000367613,Drukveer C0600-049-2250M Lo=57.15,2,Wear,4.0,167.92,1.0,33.584,33.584,0.0066457907258442,98.29630979031556,C,6.64579072584425e-05,0.9829630979031556,4.0,4.0,4.0,1.0,Uitgeschakeld,000367613,6.9,Custom approved,Amatec B.V.,700-General parts," 3,45",0 dagen,5.0,1.0,2025-04-02,
RIETGAT0330-5M-09,Toothed belt endless,3,Wear,3.0,17.25,3.0,3.45,1.15,0.0002275684651834,99.99913049057754,C,2.275684651834471e-06,0.9999913049057756,3.0,1.0,1.0,3.0,Uitgeschakeld,RIETGAT0330-5M-09,7.02,Standard Approved,Ammertech B.V.,360-Drive belt," 3,51",21 dagen,5.0,1.0,2025-01-31,
000635618,Toothed belt endless,3,Wear,1.0,5.59,1.0,1.118,1.118,0.0002212361252826,99.99935172670284,C,2.212361252826903e-06,0.9999935172670285,1.0,1.0,1.0,1.0,Uitgeschakeld,000635618,7.02,Custom Approved,Ammertech B.V.,360-Drive belt," 3,51",0 dagen,5.0,0.0,2024-05-15,
000271228,Toothed belt endless,3,Wear,4.0,38.13,4.0,7.626,1.9065,0.0003772689381497,99.99632775076417,C,3.772689381497756e-06,0.9999632775076416,4.0,1.0,1.0,4.0,Uitgeschakeld,000271228,7.12,Custom Approved,Ammertech B.V.,360-Drive belt," 3,59",0 dagen,5.0,1.0,2025-07-15,
000792063,Toothed belt endless,3,Wear,1.0,6.76,1.0,1.352,1.352,0.0002675413608069,99.99789779507688,C,2.675413608069743e-06,0.9999789779507688,1.0,1.0,1.0,1.0,Geselecteerd,000792063,7.12,Custom Approved,Ammertech B.V.,360-Drive belt," 3,56",0 dagen,5.0,0.0,2025-09-26,
000543761,Toothed belt endless,3,Wear,1.0,6.19,1.0,1.238,1.238,0.0002449823999105,99.99866308473862,C,2.449823999105283e-06,0.9999866308473864,1.0,1.0,1.0,1.0,Uitgeschakeld,000543761,7.12,Custom Approved,Ammertech B.V.,360-Drive belt," 3,56",0 dagen,3.0,0.0,2024-09-05,
000253623,Tension spring,2,Wear,1.0,11.63,1.0,2.326,2.326,0.0004602819565362,99.99424724070124,C,4.602819565362591e-06,0.9999424724070124,1.0,1.0,1.0,1.0,Uitgeschakeld,000253623,7.28,Custom approved,Amatec B.V.,700-General parts," 3,64",0 dagen,5.0,1.0,2022-03-18,
000292392,Toothed belt endless,3,Wear,1.0,6.62,1.0,1.324,1.324,0.0002620005633938,99.99815979564026,C,2.620005633938122e-06,0.9999815979564026,1.0,1.0,1.0,1.0,Uitgeschakeld,000292392,7.6,Custom Approved Racupack,Ammertech B.V.,360-Drive belt," 3,80",0 dagen,3.0,1.0,2023-10-25,
000428313,Suction cup fitting,2,Consumable,1.0,129.8,1.0,25.96,25.96,0.0051371107444889,98.7680224364427,C,5.137110744488945e-05,0.987680224364427,1.0,1.0,1.0,1.0,Uitgeschakeld,000428313,7.68,Custom Approved,Technisch Buro Hemmes,560-Vacuum component," 3,84",0 dagen,4.0,1.0,2024-03-25,
BELTVMUL-00000001,PolyVee belt endless,3,Wear,3.0,68.3,2.0,13.66,6.83,0.0013515587975677,99.87549459621016,C,1.351558797567777e-05,0.9987549459621016,3.0,1.5,2.0,2.0,Uitgeschakeld,BELTVMUL-00000001,7.72,Custom Approved,Ammertech B.V.,360-Drive belt," 3,86",0 dagen,5.0,1.0,2024-12-04,
000309533,Pressure spring,2,Wear,1.0,0.0,1.0,0.0,0.0,0.0,100.0000000000002,C,0.0,1.000000000000002,1.0,1.0,1.0,1.0,Uitgeschakeld,000309533,7.94,Custom approved Racupack,Amatec B.V.,700-General parts," 3,97",0 dagen,5.0,1.0,2023-01-20,
SPRICOMP-00000004,Compression spring,2,Wear,1.0,306.28,1.0,61.25599999999999,61.25599999999999,0.0121216816550236,95.98959460016162,C,0.0001212168165502,0.9598959460016162,1.0,1.0,1.0,1.0,Uitgeschakeld,SPRICOMP-00000004,8.06,Custom approved,Amatec B.V.,700-General parts," 3,85",0 dagen,5.0,1.0,2026-02-27,
SPRITORS-00000001,Torsieveer,2,Wear,3.0,251.6,2.0,50.32,25.16,0.00497880224697,98.83877868985248,C,4.978802246970025e-05,0.9883877868985248,3.0,1.5,2.0,2.0,Uitgeschakeld,SPRITORS-00000001,8.12,Custom approved,Amatec B.V.,700-General parts," 4,06",0 dagen,5.0,1.0,2023-06-23,
000504807,Torsieveer,2,Wear,1.0,760.0,1.0,152.0,152.0,0.0300786145285947,82.10739682765893,B,0.0003007861452859,0.8210739682765893,1.0,1.0,1.0,1.0,Uitgeschakeld,000504807,8.42,Custom Approved,Amatec B.V.,700-General parts," 2,85",0 dagen,5.0,0.0,2025-08-22,
000316297,"Spring, pressure",2,Wear,10.0,120.35,8.0,24.07,3.00875,0.0005953883648875,99.9862800489466,C,5.953883648875622e-06,0.999862800489466,10.0,1.25,2.0,8.0,Uitgeschakeld,000316297,8.44,Custom Approved Racupack,Amatec B.V.,700-General parts," 4,22",0 dagen,5.0,1.0,2025-10-30,
000221375,Pressure spring,2,Wear,1.0,11.92,1.0,2.384,2.384,0.0004717593226063,99.99378695874468,C,4.717593226063808e-06,0.9999378695874468,1.0,1.0,1.0,1.0,Uitgeschakeld,000221375,8.44,Custom approved,Amatec B.V.,700-General parts," 4,22",0 dagen,5.0,1.0,2023-10-11,
000283251,"Spring, pressure",2,Wear,3.0,19.58,3.0,3.915999999999999,1.305333333333333,0.0002583066984517,99.99841810233872,C,2.58306698451704e-06,0.9999841810233872,3.0,1.0,1.0,3.0,Uitgeschakeld,000283251,8.44,Custom Approved Racupack,Amatec B.V.,700-General parts," 4,22",0 dagen,5.0,1.0,2026-01-19,
000271540,Toothed belt endless,3,Wear,1.0,13.15,1.0,2.63,2.63,0.0005204391855934,99.99130022907713,C,5.204391855934486e-06,0.9999130022907712,1.0,1.0,1.0,1.0,Uitgeschakeld,000271540,8.46,Custom Approved,Ammertech B.V.,360-Drive belt," 4,26",0 dagen,5.0,1.0,2023-02-27,
000534574,Toothed belt endless,3,Wear,6.0,50.23,4.0,10.046,2.5115,0.0004969897393984,99.99282127690982,C,4.969897393984587e-06,0.9999282127690984,6.0,1.5,2.0,4.0,Uitgeschakeld,000534574,8.58,Custom Approved,Ammertech B.V.,360-Drive belt," 4,29",0 dagen,3.0,0.0,2025-10-08,
000357018,"Spring, tension",2,Wear,2.0,105.13,1.0,21.026,21.026,0.004160743086041,99.0419159338752,C,4.160743086041008e-05,0.990419159338752,2.0,2.0,2.0,1.0,Uitgeschakeld,000357018,8.6,Custom Approved,Amatec B.V.,700-General parts," 5,33",0 dagen,5.0,1.0,2025-09-04,
000507698,Toothed belt endless,3,Wear,2.0,16.77,1.0,3.354000000000001,3.354000000000001,0.000663708375848,99.9831398514841,C,6.637083758480711e-06,0.9998313985148408,2.0,2.0,2.0,1.0,Uitgeschakeld,000507698,8.6,Custom Approved,Ammertech B.V.,360-Drive belt," 4,30",0 dagen,3.0,0.0,2023-04-27,
VEEDSPE12570,Drukveer,2,Wear,9.0,169.54,7.0,33.908,4.844,0.000958557952477,99.95210095928272,C,9.58557952477059e-06,0.9995210095928272,9.0,1.285714285714286,2.0,7.0,Uitgeschakeld,VEEDSPE12570,8.64,Standard Approved,Amatec B.V.,700-General parts," 4,32",21 dagen,5.0,1.0,2025-12-15,
RIETGAT225-5M15,Toothed belt endless,3,Wear,1.0,202.2,1.0,40.44,40.44,0.0080024945495813,97.87152163083236,C,8.002494549581392e-05,0.9787152163083236,1.0,1.0,1.0,1.0,Uitgeschakeld,RIETGAT225-5M15,8.88,Custom Approved,Ammertech B.V.,360-Drive belt," 4,44",0 dagen,5.0,1.0,2022-04-08,
VEEDSPE36004015#A,Compression spring,2,Wear,5.0,520.12,3.0,104.024,34.67466666666667,0.0068616179774617,98.2420505721556,C,6.86161797746171e-05,0.982420505721556,5.0,1.666666666666667,2.0,3.0,Uitgeschakeld,VEEDSPE36004015#A,8.96,Custom approved,Amatec B.V.,700-General parts," 2,64",0 dagen,5.0,1.0,2026-02-25,
000389811,"Spring, torsion",2,Wear,6.0,464.8099999999999,4.0,92.962,23.2405,0.0045989607957355,98.92016335064568,C,4.598960795735567e-05,0.9892016335064566,6.0,1.5,3.0,4.0,Uitgeschakeld,000389811,8.96,Custom Approved,Amatec B.V.,700-General parts," 4,06",0 dagen,5.0,1.0,2025-12-30,
000444705,"Spring, pressure",2,Wear,4.0,17.8,4.0,3.56,0.89,0.0001761182034897,99.99973483326684,C,1.761182034897982e-06,0.9999973483326684,4.0,1.0,1.0,4.0,Uitgeschakeld,000444705,8.96,Standard Approved,Amatec B.V.,700-General parts," 4,09",0 dagen,5.0,0.0,2024-09-16,
000422093,Drukveer,2,Wear,4.0,29.93,4.0,5.986,1.4965,0.0002961358331713,99.99763025371608,C,2.961358331713292e-06,0.9999763025371606,4.0,1.0,1.0,4.0,Uitgeschakeld,000422093,9.12,Custom approved,Amatec B.V.,700-General parts," 5,24",0 dagen,5.0,1.0,2025-02-07,
000379727,"Drukveer Do=27,94 Lo=38,1 d=2,44 St",2,Wear,1.0,148.32,1.0,29.664,29.664,0.0058700790880015,98.47049685047634,C,5.870079088001543e-05,0.9847049685047634,1.0,1.0,1.0,1.0,Uitgeschakeld,000379727,9.22,Custom approved,Amatec B.V.,700-General parts," 4,61",0 dagen,5.0,1.0,2022-04-27,
RIETPIR0500-5M-15,Toothed belt endless,3,Wear,68.0,1383.99,46.0,276.798,6.017347826086956,0.0011907466167457,99.9150883692431,C,1.190746616745705e-05,0.9991508836924308,68.0,1.478260869565217,4.0,46.0,Uitgeschakeld,RIETPIR0500-5M-15,9.54,Standard Approved,Ammertech B.V.,360-Drive belt," 4,81",21 dagen,3.0,1.0,2026-02-25,
000519217,"Spring, tension",2,Wear,2.0,10.46,2.0,2.092,1.046,0.0002069883605059,99.99955871506334,C,2.069883605059875e-06,0.9999955871506334,2.0,1.0,1.0,2.0,Uitgeschakeld,000519217,9.54,Standard Approved,Amatec B.V.,700-General parts," 4,77",0 dagen,5.0,0.0,2025-05-12,
RIETPIR0375-5M-15,Toothed belt endless,3,Wear,7.0,142.4,5.0,28.48,5.696,0.0011271565023347,99.92896221374612,C,1.127156502334708e-05,0.9992896221374612,7.0,1.4,3.0,5.0,Uitgeschakeld,RIETPIR0375-5M-15,9.56,Custom Approved,Ammertech B.V.,360-Drive belt," 4,82",21 dagen,3.0,1.0,2025-11-25,
RIETPIR0965-5M-25,Toothed belt endless,3,Wear,2.0,207.49,2.0,41.498,20.749,0.004105928768775,99.06671852195272,C,4.105928768775082e-05,0.9906671852195272,2.0,1.0,1.0,2.0,Uitgeschakeld,RIETPIR0965-5M-25,9.68,Custom Approved,Ammertech B.V.,360-Drive belt," 4,84",21 dagen,5.0,1.0,2023-03-17,
000392577,Suction cup fitting,2,Consumable,1.0,40.95,1.0,8.190000000000001,8.190000000000001,0.0016206832433499,99.80762449554148,C,1.620683243349941e-05,0.9980762449554148,1.0,1.0,1.0,1.0,Uitgeschakeld,000392577,9.76,Custom Approved,Schmalz B.V.,560-Vacuum component," 4,88",0 dagen,4.0,1.0,2023-03-17,
000543638,Toothed belt endless,3,Wear,1.0,19.56,1.0,3.912,3.912,0.0007741285528675,99.97311272945709,C,7.741285528675174e-06,0.9997311272945708,1.0,1.0,1.0,1.0,Uitgeschakeld,000543638,9.78,Custom Approved,Ammertech B.V.,360-Drive belt," 4,93",0 dagen,3.0,0.0,2026-05-05,
VEEDSPE42004225#B,Drukveer,2,Wear,5.0,37.99,5.0,7.598000000000001,1.5196,0.0003007069910371,99.9973341178829,C,3.00706991037188e-06,0.999973341178829,5.0,1.0,1.0,5.0,Uitgeschakeld,VEEDSPE42004225#B,9.78,Standard Approved,Amatec B.V.,700-General parts," 4,89",35 dagen,5.0,10.0,2025-06-17,
RIETPIR1035-5M-25,Toothed belt endless,3,Wear,1.0,22.44,1.0,4.488,4.488,0.0008881106710811,99.96222509552112,C,8.881106710811398e-06,0.9996222509552114,1.0,1.0,1.0,1.0,Uitgeschakeld,RIETPIR1035-5M-25,9.94,Standard Approved,Ammertech B.V.,360-Drive belt," 4,97",0 dagen,5.0,1.0,2022-04-12,
VEETSPT41020,Trekveer d=0.55 Do= 6.0Lo=22.1,2,Wear,1.0,8.95,1.0,1.79,1.79,0.0003542152631985,99.99668196602735,C,3.542152631985829e-06,0.9999668196602736,1.0,1.0,1.0,1.0,Uitgeschakeld,VEETSPT41020,9.94,Custom approved,Amatec B.V.,700-General parts," 7,17",21 dagen,5.0,1.0,2025-11-13,
000271804,"Spring, tension",2,Wear,23.0,628.85,18.0,125.77,6.987222222222223,0.0013826708147885,99.86595201850773,C,1.382670814788509e-05,0.9986595201850772,23.0,1.277777777777778,3.0,18.0,Uitgeschakeld,000271804,10.02,Custom Approved,Amatec B.V.,700-General parts," 5,01",0 dagen,5.0,1.0,2026-04-24,
RIETPIR0400-5M-15,Toothed belt endless,3,Wear,2.0,28.05,2.0,5.61,2.805,0.0005550691694257,99.98912722727448,C,5.550691694257123e-06,0.9998912722727448,2.0,1.0,1.0,2.0,Uitgeschakeld,RIETPIR0400-5M-15,10.26,Custom Approved,Ammertech B.V.,360-Drive belt," 5,17",21 dagen,5.0,1.0,2025-10-28,
000456081,Toothed belt endless,3,Wear,1.0,33.7,1.0,6.74,6.74,0.0013337490915968,99.87952906128504,C,1.333749091596899e-05,0.9987952906128504,1.0,1.0,1.0,1.0,Uitgeschakeld,000456081,10.3,Custom Approved,Ammertech B.V.,360-Drive belt," 5,15",0 dagen,3.0,1.0,2023-05-18,
000320882,PolyVee belt endless,3,Wear,45.0,2779.84,28.0,555.9680000000001,19.856,0.0039292169084195,99.13881681653118,C,3.929216908419588e-05,0.9913881681653116,45.0,1.607142857142857,5.0,28.0,Uitgeschakeld,000320882,10.64,Standard Approved,Interroll Foerdertechnik GmbH,360-Drive belt," 5,32",0 dagen,3.0,1.0,2026-04-14,
000320372,PolyVee belt endless,3,Wear,25.0,1415.85,21.0,283.17,13.48428571428571,0.0026683462644305,99.53468102570754,C,2.668346264430506e-05,0.9953468102570754,25.0,1.19047619047619,3.0,21.0,Uitgeschakeld,000320372,10.66,Standard Approved,Interroll Foerdertechnik GmbH,360-Drive belt," 4,18",0 dagen,3.0,1.0,2026-02-20,
000488655,"Spring, pressure",2,Wear,10.0,351.7,8.0,70.34,8.7925,0.0017399093305438,99.78583758539888,C,1.739909330543877e-05,0.9978583758539888,10.0,1.25,3.0,8.0,Uitgeschakeld,000488655,10.9,Standard Approved,Amatec B.V.,700-General parts," 5,45",0 dagen,5.0,0.0,2026-04-30,
RIETPIR0890-5M-25,Toothed belt endless,3,Wear,1.0,20.12,1.0,4.024,4.024,0.0007962917425201,99.9723386009042,C,7.962917425201662e-06,0.999723386009042,1.0,1.0,1.0,1.0,Uitgeschakeld,RIETPIR0890-5M-25,11.3,Custom Approved,Ammertech B.V.,360-Drive belt," 5,65",21 dagen,3.0,1.0,2023-12-13,
000274448,PolyVee belt endless,3,Wear,25.0,1542.7,20.0,308.54,15.427,0.0030527814890304,99.4028428493432,C,3.052781489030468e-05,0.994028428493432,25.0,1.25,3.0,20.0,Uitgeschakeld,000274448,11.52,Standard Approved,Interroll Foerdertechnik GmbH,360-Drive belt," 5,76",0 dagen,3.0,1.0,2026-01-23,
000271350,"Spring, pressure",2,Wear,41.0,1670.95,25.0,334.19,13.3676,0.0026452558392923,99.5506056968877,C,2.645255839292389e-05,0.995506056968877,41.0,1.64,5.0,25.0,Uitgeschakeld,000271350,11.64,Standard Approved,Amatec B.V.,700-General parts," 5,82",0 dagen,5.0,1.0,2026-03-11,
VEETSPTEO750,"Spring, tension",2,Wear,10.0,363.48,9.0,72.696,8.077333333333334,0.0015983881299493,99.81727482489076,C,1.59838812994936e-05,0.9981727482489076,10.0,1.111111111111111,2.0,9.0,Uitgeschakeld,VEETSPTEO750,11.68,Standard Approved,Amatec B.V.,700-General parts," 12,29",35 dagen,5.0,10.0,2026-04-22,
RIETPIR0450-5M-15,Toothed belt endless,3,Wear,12.0,227.11,7.0,45.422,6.488857142857143,0.0012840515311257,99.89650913649764,C,1.284051531125781e-05,0.9989650913649764,12.0,1.714285714285714,4.0,7.0,Uitgeschakeld,RIETPIR0450-5M-15,11.68,Standard Approved,Ammertech B.V.,360-Drive belt," 5,89",21 dagen,5.0,1.0,2026-03-11,
000271351,Pressure spring,2,Wear,4.0,83.91,4.0,16.782,4.1955,0.0008302291266757,99.96826334440682,C,8.302291266757847e-06,0.9996826334440682,4.0,1.0,1.0,4.0,Uitgeschakeld,000271351,11.7,Custom approved Racupack,Amatec B.V.,700-General parts," 6,73",0 dagen,5.0,1.0,2025-01-28,
000507025,Toothed belt endless,3,Wear,11.0,258.52,9.0,51.70399999999999,5.744888888888888,0.0011368309105164,99.92557520344172,C,1.13683091051642e-05,0.9992557520344172,11.0,1.222222222222222,3.0,9.0,Uitgeschakeld,000507025,11.78,Standard Approved,Ammertech B.V.,360-Drive belt," 5,89",0 dagen,3.0,0.0,2026-03-10,
000299592,Torsion spring,2,Wear,1.0,22.5,1.0,4.5,4.5,0.0008904852985439,99.96133698485006,C,8.904852985439234e-06,0.9996133698485006,1.0,1.0,1.0,1.0,Uitgeschakeld,000299592,11.84,Custom approved Racupack,Amatec B.V.,700-General parts," 5,92",0 dagen,5.0,1.0,2025-09-25,
000549986,Spring pressure,2,Wear,6.0,44.4,5.0,8.879999999999999,1.776,0.000351444864492,99.99703341089186,C,3.514448644920018e-06,0.9999703341089186,6.0,1.2,2.0,5.0,Uitgeschakeld,000549986,11.84,Standard Approved,Amatec B.V.,700-General parts," 5,92",0 dagen,5.0,0.0,2025-10-08,
000398446,Toothed belt endless,3,Wear,2.0,72.35,2.0,14.47,7.234999999999999,0.0014317024744367,99.8505223573845,C,1.43170247443673e-05,0.9985052235738452,2.0,1.0,1.0,2.0,Uitgeschakeld,000398446,11.92,Custom Approved,Ammertech B.V.,360-Drive belt," 5,96",0 dagen,5.0,1.0,2024-11-01,
RIETPIR0490-5M-15,Toothed belt endless,3,Wear,3.0,165.78,2.0,33.156,16.578,0.0032805478398358,99.33283323038673,C,3.280547839835814e-05,0.9933283323038672,3.0,1.5,2.0,2.0,Uitgeschakeld,RIETPIR0490-5M-15,12.04,Custom Approved,Ammertech B.V.,360-Drive belt," 6,07",0 dagen,3.0,1.0,2026-05-05,
RIETPIR0520-5M-15,Toothed belt endless,3,Wear,2.0,55.73999999999999,2.0,11.148,5.574,0.001103014456463,99.93227778734102,C,1.103014456463073e-05,0.9993227778734104,2.0,1.0,1.0,2.0,Uitgeschakeld,RIETPIR0520-5M-15,12.26,Custom Approved,Ammertech B.V.,360-Drive belt," 6,13",21 dagen,5.0,1.0,2023-02-07,
RIETPIR0525-5M-15,Toothed belt endless,3,Wear,6.0,212.19,3.0,42.438,14.146,0.0027992900073782,99.4994754219842,C,2.799290007378298e-05,0.9949947542198418,6.0,2.0,4.0,3.0,Uitgeschakeld,RIETPIR0525-5M-15,12.38,Custom Approved,Ammertech B.V.,360-Drive belt," 6,24",21 dagen,3.0,1.0,2026-03-19,
000262775,Toothed belt endless,3,Wear,4.0,219.34,2.0,43.86799999999999,21.934,0.0043404232307249,98.99102908505688,C,4.340423230724981e-05,0.9899102908505688,4.0,2.0,3.0,2.0,Uitgeschakeld,000262775,12.64,Standard Approved,Ammertech B.V.,360-Drive belt," 6,32",0 dagen,3.0,1.0,2024-09-05,
000682683,3D printed part,Onbekend,Onbekend,1.0,23.03,1.0,4.606,4.606,0.0009114611744651,99.95954226120224,C,9.114611744651805e-06,0.9995954226120224,1.0,1.0,1.0,1.0,Uitgeschakeld,000682683,12.8,Custom Approved,Oceanz B.V.,192-3D-print," 3,44",0 dagen,7.0,0.0,2024-11-12,
VEEDSPE13480,Drukveer,2,Wear,3.0,111.16,3.0,22.232,7.410666666666668,0.0014664643820169,99.84332152387398,C,1.466464382016927e-05,0.9984332152387398,3.0,1.0,1.0,3.0,Uitgeschakeld,VEEDSPE13480,12.8,Standard Approved,Amatec B.V.,700-General parts," 6,40",35 dagen,5.0,10.0,2022-11-03,
